player_no,team_code,first_name,last_name,song,song_code
808,TB,Jason,Adam,"Use This Gospel",s0907
809,TB,Jonathan,Aranda,"El Cachanilla",s0809
810,TB,Shawn,Armstrong,"God's Gonna Cut You Down",s0810
811,TB,Randy,Arozarena,"Beautiful Day (Thank You for Sunshine)",s0811
812,TB,Shane,Baz,Fearless,s0812
813,TB,Jalen,Beeks,"Where I Belong",s0813
814,TB,Christian,Bethancourt,"Yo Voy",s0814
815,TB,Vidal,Bruján,"Ay Si Ñiño",s0815
816,TB,Yonny,Chirinos,Creere,s0816
817,TB,Garrett,Cleavinger,""Gin, Smoke, Lies"",s0817
818,TB,Yandy,Díaz,Lenier,s0818
819,TB,Zach,Eflin,"Take It Easy",s0819
820,TB,Pete,Fairbanks,"Secret Crowds",s0820
821,TB,Calvin,Faucher,"Going to California",s0821
822,TB,Josh,Fleming,"The Search",s0822
823,TB,Wander,Franco,"De Kabra A Tiguere",s0823
824,TB,Tyler,Glasnow,MVP,s0824
825,TB,Brandon,Lowe,"Burn The House Down",s0825
826,TB,Josh,Lowe,"Last Night",s0826
827,TB,Manuel,Margot,Estare,s0827
828,TB,Shane,McClanahan,"Simple Man",s0828
829,TB,Francisco,Mejía,Dinero,s0829
830,TB,Isaac,Paredes,"Ella Baila Sola",s0830
831,TB,Colin,Poche,Work,s0831
832,TB,Luke,Raley,"She Had Me at Heads Carolina",s0832
833,TB,Harold,Ramirez,"Calm Down",s0833
834,TB,Drew,Rasmussen,"In Bloom",s0834
835,TB,Jose,Siri,Empaquetate,s0835
836,TB,Jeffrey,Springs,"No Diggity",s0836
837,TB,Ryan,Thompson,"Rescue Story",s0837
838,TB,Taylor,Walls,"All My Life",s0838
839,TEX,Brock,Burke,"Square Dance",s0839
840,TEX,Jacob,deGrom,"Simple Man",s0828
841,TEX,Dane,Dunning,"Kickstart My Heart",s0841
842,TEX,Ezequiel,Duran,"Con Calma",s0842
843,TEX,Nathan,Eovaldi,"Come Together",s0843
844,TEX,Adolis,García,"Spread The Opps",s0844
845,TEX,Mitch,Garver,"Burning Man",s0845
846,TEX,Jon,Gray,"Thunderkiss '65",s0846
847,TEX,Robbie,Grossman,"Tops Drop",s0847
848,TEX,Andrew,Heaney,"Used To",s0848
849,TEX,Taylor,Hearn,"Prime Time",s0849
850,TEX,Jonah,Heim,"Home Sweet",s0850
851,TEX,Jonathan,Hernandez,"Asi Soy Yo",s0851
852,TEX,Travis,Jankowski,"In The Bible",s0852
853,TEX,Josh,Jung,"Can't Stop",s0853
854,TEX,Ian,Kennedy,"Sad But True",s0854
855,TEX,John,King,"Fuss and Fight",s0855
856,TEX,Jose,Leclerc,Bori,s0856
857,TEX,Nathaniel,Lowe,Desires,s0857
858,TEX,Brett,Martin,"Mexican Wind",s0858
859,TEX,Brad,Miller,"The Hills",s0859
860,TEX,Glenn,Otto,Runaway,s0860
861,TEX,Martín,Pérez,"Manduko - Victor Porfidio Remix",s0861
862,TEX,Cole,Ragans,"Money For Nothing",s0862
863,TEX,Corey,Seager,"Cold As You",s0863
864,TEX,Marcus,Semien,Graves,s0864
865,TEX,Josh,Smith,"Suga Suga",s0865
866,TEX,Will,Smith,Stranglehold,s0866
867,TEX,Leody,Taveras,"Las Avispas",s0867
868,TEX,Bubba,Thompson,"BUTTERFLY EFFECT",s0880
869,TOR,Brandon,Belt,"Say It Ain't So",s0869
870,TOR,Bo,Bichette,"Yungen (Clean)",s0870
871,TOR,Cavan,Biggio,"Feds Did a Sweep",s0871
872,TOR,Matt,Chapman,Antidote,s0872
873,TOR,Santiago,Espinal,"Alto Riesgo",s0873
874,TOR,Vladimir,"Guerrero Jr.","Quienes Son Ustedes",s0874
875,TOR,Danny,Jansen,"Rock and Roll Band",s0875
876,TOR,Kevin,Kiermaier,Hustlin',s0876
877,TOR,Alejandro,Kirk,"El Mechón",s0877
878,TOR,Jordan,Luplow,"Stone Love",s0878
879,TOR,Whit,Merrifield,"Still Fly",s0879
880,TOR,George,Springer,"BUTTERFLY EFFECT",s0880
881,TOR,Daulton,Varsho,Sunrise,s0881
882,TOR,Chris,Bassitt,Deliverance,s0882
883,TOR,José,Berríos,"La Resistencia PR",s0883
884,TOR,Adam,Cimber,"All Things",s0884
885,TOR,Yimi,García,"Ven Espíritu Santo",s0885
886,TOR,Kevin,Gausman,Money,s0886
887,TOR,Yusei,Kikuchi,"We Are Young",s0887
888,TOR,Alek,Manoah,"No Friends in the Industry",s0888
889,TOR,Tim,Mayza,"Remember When",s0889
890,TOR,Zach,Pop,Goosebumps,s0890
891,TOR,Trevor,Richards,"Runnin’ Outta Moonlight",s0891
892,TOR,Jordan,Romano,Tsunami,s0892
893,TOR,Erik,Swanson,"Hillbilly Deluxe",s0893
894,WSH,Luis,Garcia,"No Le Pegue A La Negra",s0894
895,WSH,CJ,Abrams,MisUnderstood,s0895
896,WSH,Ildemaro,Vargas,Sufriendo,s0896
897,WSH,Riley,Adams,"All The Small Things",s0897
898,WSH,Victor,Robles,"BA BA",s0898
899,WSH,Lane,Thomas,"Dirt On My Boots",s0899
900,WSH,Josiah,Gray,Carousel,s0900
901,WSH,Joey,Meneses,"Cada Quien",s0901
902,WSH,Patrick,Corbin,"Going Bad",s0902
903,WSH,Jordan,Weems,"What I Can't Put Down",s0903
904,WSH,Andres,Machado,Bandoleros,s0904
905,WSH,Carl,"Edwards Jr.",Invincible,s0905
906,WSH,Erasmo,Ramírez,"Tick Tick Boom",s0906
907,WSH,Alex,Call,"Use This Gospel",s0907
908,WSH,Kyle,Finnegan,"Edge of Darkness",s0908
909,WSH,Mason,Thompson,"Outlaw State of Mind",s0909
910,WSH,Hunter,Harvey,"(What This World Needs Is) A Few More Rednecks",s0910
