song_code,song_name,artist_name,artist2_name
s0890,Goosebumps,"Travis Scott",
s0174,"Gotta Have It",Jay-Z,"Kanye West"
s0511,"Gracias - Remix","Pedro Caop",Farruko
s0122,"Gracias (End Vivo)","Grupo Firme","Grupo Codified"
s0313,"Gracias Remix","Pedro Capo",
s0864,Graves,Kb,"Brandon Lake"
s0093,"Gravy Train","Yung Gravy",
s0316,Grillz,Nelly,
s0637,"Grove St. Party","Waka Flocka Flame","Victor Cardenas"
s0746,"Had Enough","Don Toliver",
s0412,"Hail Mary",2Pac,
s0045,"Halftime (Stand Up and Get Crunk)","Ying Yang Twins",
s0317,"Hasta Que Dios Diga","Anuel AA",
s0777,"Hawai'i '78","Israel Kamakawiwo’ole",
s0008,"Hay Problema","Liro Shaq",
s0680,"Hay Santo","Rochy Rd","Jonatan Burlon"
s0712,"Heavy Is The Head","Zac Brown Band","Chris Cornell"
s0763,"Hell and Back","Kid Ink",
s0553,Hello,"Pop Smoke","A Boogie Wit da Hoodie"
s0795,"Hells Bells",AC/DC,
s0697,HER,"Block B",
s0124,"Here Comes The Boom",Nelly,Nelly
s0135,"Here Comes The Hotstepper","Ini Kamoze",
s0241,"Hey Ma",Cam'ron,
s0096,"Hey Mor",Ozuna,Feid
s0201,"High Hopes","Panic! At The Disco",
s0563,"High Today","Wiz Khalifa",
s0482,Higher,Creed,
s0765,"Higher (Flume Remix)",Ta-Ku,
s0519,Hikoutei,"King Gnu",
s0076,Hillbilly,"The Cadillac Three","Elvie Shane"
s0893,"Hillbilly Deluxe","Brooks and Dunn",
s0564,"Hip Hop Hooray","Naughty By Nature",
s0789,"Hold Me Closer","Elton John",
s0788,"Hold On","Lil Tjay",
s0233,"Hold Yuh",Gyptian,
s0747,"Holler From The Holler","Stephen Wilson Jr.",
s0239,"Hollywood's Bleeding","Post Malone",
s0850,"Home Sweet","Russell Dickerson",
s0123,Hot,"Daddy Yankee",Pitbull
s0598,"Hot (Remix)","Young Thug","Travis Scott"
s0137,"Hotel Lobby",Quavo,Takeoff
s0640,"How Bad Do You Want It","Tim McGraw",
s0473,"Howlin' For You","The Black Keys",
s0636,"Hunger on Hillside","J. Cole",
s0286,"Hungry Like The Wolf","Duran Duran",
s0342,"Hussle & Motivate","Nipsey Hustle",
s0199,"Hustler Musik","Lil Wayne",
s0876,Hustlin',"Rick Ross",
s0641,"I Am Second",Newsboys,
s0144,"I Got It","Gorilla Zoe",
s0040,"I Gotta Feeling","The Black Eyed Peas",
s0385,"I Luv It","Young Jeezy",
s0180,"I Meant It","Xay Hill",
s0664,"I Wanna Dance With Somebody","Whitney Houston",
s0334,"I Wanna Rock - The Kings G-Mix","Snoop Dogg",Jay-Z
s0566,"I Was Made For Lovin' You",KISS,
s0608,"I Won't Back Down","Tom Petty",
s0715,"I Wrote The Book","Morgan Wallen",
s0726,"I'll Be There For You","The Rembrandts",
s0001,"I'm A Saint",Lecrae,
s0231,"I'm Good","David Guetta","Bebe Rexha"
s0464,"I'm Real","Jennifer Lopez","Ja Rule"
s0541,"I'm So Blessed - Best Day Remix",Cain,
s0735,"I'm So Humble","Lonely Island",
s0401,"I'm Your Boogie Man",KC,"The Sunshine Band"
s0744,"If You Want Blood (You've Got It)",AC/DC,
s0063,"Immigrant Song","Led Zeppelin",
s0581,"In a Minute","Lil Ba",
s0834,"In Bloom",Nirvana,
s0315,"In The Air Tonight","Phil Collins",
s0852,"In The Bible","Morgan Wallen",HARDY
s0785,"In The House",Crowder,
s0283,"In The Yuma","Chris Lake",
s0554,Intoxicated,"Martin Solveig","Good Times Ahead"
s0432,Intro,DMX,
s0718,Intro,"The xx",
s0905,Invincible,"Pop Smoke",
s0232,"It Was A Good Day","Ice Cube",
s0586,"It's a Beautiful Day",Trinix,Rushawn
s0594,"It's My Life","Bon Jovi",
s0269,"It’s Plenty","Burna Boy",
s0440,"Jazz Chisholm","P KAYE",
s0499,"Jimmy Cooks",Drake,"21 Savage"
s0660,"Joker and the Thief",Wolfmother,
s0125,"Joseo y Fe","Ovi Y Arcangel",
s0308,"Jovenes Millionarios","Eladio Carrion",
s0484,JS4E,Arcangel,
s0470,"Jumbotron Poppin'",Drake,
s0745,"Jumbotron Sh** Poppin",Drake,
s0139,Jump,"Van Halen",
s0774,"Jump Around","House of Pain",
s0471,Jungle,"Andre Nickatina",
s0311,"Just A Dog","Big Moe",
s0734,"Just the Two of Us","Grover Washington Jr.",
s0603,Kashmir,"Led Zeppelin",
